,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Date,Player,Venue,Team,Opposition,TOI,Goals Against,Expected Goals Against,Season
0,0,0,0,0,2015-10-07,Jonathan Bernier,home,Toronto Maple Leafs,Montreal Canadiens,57.7167,2,1.77,20152016
1,1,1,1,1,2015-10-07,Carey Price,away,Montreal Canadiens,Toronto Maple Leafs,60.0,1,3.14,20152016
2,2,2,2,2,2015-10-07,Corey Crawford,home,Chicago Blackhawks,New York Rangers,58.25,3,2.26,20152016
3,3,3,3,3,2015-10-07,Henrik Lundqvist,away,New York Rangers,Chicago Blackhawks,59.5333,2,2.45,20152016
4,4,4,4,4,2015-10-07,Karri Ramo,home,Calgary Flames,Vancouver Canucks,60.0,5,3.55,20152016
5,5,5,5,5,2015-10-07,Ryan Miller,away,Vancouver Canucks,Calgary Flames,59.6167,1,2.62,20152016
6,6,6,6,6,2015-10-07,Jonathan Quick,home,Los Angeles Kings,San Jose Sharks,60.0,5,2.61,20152016
7,7,7,7,7,2015-10-07,Martin Jones,away,San Jose Sharks,Los Angeles Kings,60.0,1,1.52,20152016
8,8,8,8,8,2015-10-08,Tuukka Rask,home,Boston Bruins,Winnipeg Jets,59.7,5,2.42,20152016
9,9,9,9,9,2015-10-08,Ondrej Pavelec,away,Winnipeg Jets,Boston Bruins,60.0,2,3.24,20152016
10,10,10,10,10,2015-10-08,Chad Johnson,home,Buffalo Sabres,Ottawa Senators,31.4833,1,0.69,20152016
11,11,11,11,11,2015-10-08,Robin Lehner,home,Buffalo Sabres,Ottawa Senators,27.5,1,0.78,20152016
12,12,12,12,12,2015-10-08,Craig Anderson,away,Ottawa Senators,Buffalo Sabres,60.0,1,1.63,20152016
13,13,13,13,13,2015-10-08,Ben Bishop,home,Tampa Bay Lightning,Philadelphia Flyers,61.6333,2,2.06,20152016
14,14,14,14,14,2015-10-08,Steve Mason,away,Philadelphia Flyers,Tampa Bay Lightning,61.8333,3,2.44,20152016
15,15,15,15,15,2015-10-08,Brian Elliott,home,St Louis Blues,Edmonton Oilers,59.9,1,1.73,20152016
16,16,16,16,16,2015-10-08,Cam Talbot,away,Edmonton Oilers,St Louis Blues,66.7667,2,1.96,20152016
17,17,17,17,17,2015-10-08,Pekka Rinne,home,Nashville Predators,Carolina Hurricanes,60.0,1,2.2,20152016
18,18,18,18,18,2015-10-08,Cam Ward,away,Carolina Hurricanes,Nashville Predators,58.1167,2,2.17,20152016
19,19,19,19,19,2015-10-08,Antti Niemi,home,Dallas Stars,Pittsburgh Penguins,59.8333,0,2.67,20152016
20,20,20,20,20,2015-10-08,Marc-Andre Fleury,away,Pittsburgh Penguins,Dallas Stars,57.5167,3,3.09,20152016
21,21,21,21,21,2015-10-08,Semyon Varlamov,home,Colorado Avalanche,Minnesota Wild,58.4333,5,2.32,20152016
22,22,22,22,22,2015-10-08,Devan Dubnyk,away,Minnesota Wild,Colorado Avalanche,60.0,4,1.91,20152016
23,23,23,23,23,2015-10-09,Cory Schneider,home,New Jersey Devils,Winnipeg Jets,57.0333,3,2.23,20152016
24,24,24,24,24,2015-10-09,Michael Hutchinson,away,Winnipeg Jets,New Jersey Devils,60.0,1,1.54,20152016
25,25,25,25,25,2015-10-09,Sergei Bobrovsky,home,Columbus Blue Jackets,New York Rangers,58.8833,4,1.4,20152016
26,26,26,26,26,2015-10-09,Henrik Lundqvist,away,New York Rangers,Columbus Blue Jackets,60.0,2,2.4,20152016
27,27,27,27,27,2015-10-09,Jimmy Howard,home,Detroit Red Wings,Toronto Maple Leafs,60.0,0,2.17,20152016
28,28,28,28,28,2015-10-09,James Reimer,away,Toronto Maple Leafs,Detroit Red Wings,39.6667,1,1.2,20152016
29,29,29,29,29,2015-10-09,Jonathan Bernier,away,Toronto Maple Leafs,Detroit Red Wings,20.3333,3,0.86,20152016
30,30,30,30,30,2015-10-09,Thomas Greiss,home,New York Islanders,Chicago Blackhawks,61.8167,3,3.09,20152016
31,31,31,31,31,2015-10-09,Corey Crawford,away,Chicago Blackhawks,New York Islanders,61.5667,2,3.27,20152016
32,32,32,32,32,2015-10-09,Jonathan Quick,home,Los Angeles Kings,Arizona Coyotes,60.0,4,1.52,20152016
