,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Date,Player,Venue,Team,Opposition,TOI,Goals Against,Expected Goals Against,Season
0,0,0,0,0,2021-01-13,Carter Hart,home,Philadelphia Flyers,Pittsburgh Penguins,59.75,3,2.07,20202021
1,1,1,1,1,2021-01-13,Tristan Jarry,away,Pittsburgh Penguins,Philadelphia Flyers,59.85,6,2.47,20202021
2,2,2,2,2,2021-01-13,Andrei Vasilevskiy,home,Tampa Bay Lightning,Chicago Blackhawks,59.6167,1,1.62,20202021
3,3,3,3,3,2021-01-13,Malcolm Subban,away,Chicago Blackhawks,Tampa Bay Lightning,59.6167,5,2.75,20202021
4,4,4,4,4,2021-01-13,Frederik Andersen,home,Toronto Maple Leafs,Montreal Canadiens,63.4,4,3.0,20202021
5,5,5,5,5,2021-01-13,Carey Price,away,Montreal Canadiens,Toronto Maple Leafs,63.4,5,3.88,20202021
6,6,6,6,6,2021-01-13,Mikko Koskinen,home,Edmonton Oilers,Vancouver Canucks,58.2167,5,2.96,20202021
7,7,7,7,7,2021-01-13,Braden Holtby,away,Vancouver Canucks,Edmonton Oilers,59.7667,3,3.25,20202021
8,8,8,8,8,2021-01-13,Philipp Grubauer,home,Colorado Avalanche,St Louis Blues,60.0,4,2.96,20202021
9,9,9,9,9,2021-01-13,Jordan Binnington,away,St Louis Blues,Colorado Avalanche,60.0,1,1.77,20202021
10,10,10,10,10,2021-01-14,Carter Hutton,home,Buffalo Sabres,Washington Capitals,58.6,5,1.85,20202021
11,11,11,11,11,2021-01-14,Ilya Samsonov,away,Washington Capitals,Buffalo Sabres,60.0,4,1.78,20202021
12,12,12,12,12,2021-01-14,Mackenzie Blackwood,home,New Jersey Devils,Boston Bruins,65.0,2,3.24,20202021
13,13,13,13,13,2021-01-14,Tuukka Rask,away,Boston Bruins,New Jersey Devils,65.0,2,2.52,20202021
14,14,14,14,14,2021-01-14,Igor Shesterkin,home,New York Rangers,New York Islanders,59.9167,4,3.46,20202021
15,15,15,15,15,2021-01-14,Semyon Varlamov,away,New York Islanders,New York Rangers,60.0,0,1.68,20202021
16,16,16,16,16,2021-02-22,Chris Driedger,home,Florida Panthers,Dallas Stars,59.7167,1,1.38,20202021
17,17,17,17,17,2021-02-22,Anton Khudobin,away,Dallas Stars,Florida Panthers,57.9667,2,3.72,20202021
18,18,18,18,18,2021-01-14,Thomas Greiss,home,Detroit Red Wings,Carolina Hurricanes,58.8667,2,3.5,20202021
19,19,19,19,19,2021-01-14,Petr Mrazek,away,Carolina Hurricanes,Detroit Red Wings,60.0,0,1.67,20202021
20,20,20,20,20,2021-01-14,Juuse Saros,home,Nashville Predators,Columbus Blue Jackets,60.0,1,1.61,20202021
21,21,21,21,21,2021-01-14,Joonas Korpisalo,away,Columbus Blue Jackets,Nashville Predators,58.55,2,2.52,20202021
22,22,22,22,22,2021-01-14,Connor Hellebuyck,home,Winnipeg Jets,Calgary Flames,61.3,3,1.74,20202021
23,23,23,23,23,2021-01-14,Jacob Markstrom,away,Calgary Flames,Winnipeg Jets,61.3,4,2.85,20202021
24,24,24,24,24,2021-01-14,Mikko Koskinen,home,Edmonton Oilers,Vancouver Canucks,60.0,2,3.92,20202021
25,25,25,25,25,2021-01-14,Thatcher Demko,away,Vancouver Canucks,Edmonton Oilers,59.8667,5,4.63,20202021
