Date,Player,Venue,Team,Opposition,TOI,Goals Against,Expected Goals Against
2022-10-07,Juuse Saros,home,Nashville Predators,San Jose Sharks,60.0,1,2.94
2022-10-07,James Reimer,away,San Jose Sharks,Nashville Predators,58.7,3,3.84
2022-10-08,Kaapo Kahkonen,home,San Jose Sharks,Nashville Predators,57.3667,3,1.57
2022-10-08,Kevin Lankinen,away,Nashville Predators,San Jose Sharks,60.0,2,3.48
2022-10-11,Igor Shesterkin,home,New York Rangers,Tampa Bay Lightning,59.6833,1,2.78
2022-10-11,Andrei Vasilevskiy,away,Tampa Bay Lightning,New York Rangers,57.9333,3,4.98
2022-10-11,Jonathan Quick,home,Los Angeles Kings,Vegas Golden Knights,59.2,4,4.34
2022-10-11,Logan Thompson,away,Vegas Golden Knights,Los Angeles Kings,59.8,3,2.78
2022-10-12,Darcy Kuemper,home,Washington Capitals,Boston Bruins,57.8,4,2.69
2022-10-12,Linus Ullmark,away,Boston Bruins,Washington Capitals,60.0,2,2.92
2022-10-12,Frederik Andersen,home,Carolina Hurricanes,Columbus Blue Jackets,60.0,1,2.75
2022-10-12,Daniil Tarasov,away,Columbus Blue Jackets,Carolina Hurricanes,60.0,4,3.77
2022-10-12,Jake Allen,home,Montreal Canadiens,Toronto Maple Leafs,59.7833,3,2.96
2022-10-12,Matt Murray,away,Toronto Maple Leafs,Montreal Canadiens,59.3,4,2.47
2022-10-12,Alexandar Georgiev,home,Colorado Avalanche,Chicago Blackhawks,59.75,2,2.04
2022-10-12,Petr Mrazek,away,Chicago Blackhawks,Colorado Avalanche,60.0,5,2.7
2022-10-12,John Gibson,home,Anaheim Ducks,Seattle Kraken,60.9167,4,4.64
2022-10-12,Philipp Grubauer,away,Seattle Kraken,Anaheim Ducks,60.6833,5,2.22
2022-10-12,Jack Campbell,home,Edmonton Oilers,Vancouver Canucks,59.9,3,3.26
2022-10-12,Thatcher Demko,away,Vancouver Canucks,Edmonton Oilers,58.0667,4,2.48
2022-10-13,Tristan Jarry,home,Pittsburgh Penguins,Arizona Coyotes,59.4667,2,2.43
2022-10-13,Karel Vejmelka,away,Arizona Coyotes,Pittsburgh Penguins,59.6667,6,5.28
2022-10-13,Carter Hart,home,Philadelphia Flyers,New Jersey Devils,60.0,2,3.79
2022-10-13,Mackenzie Blackwood,away,New Jersey Devils,Philadelphia Flyers,57.5333,4,2.42
2022-10-13,Craig Anderson,home,Buffalo Sabres,Ottawa Senators,60.0,1,2.43
2022-10-13,Anton Forsberg,away,Ottawa Senators,Buffalo Sabres,59.0167,2,2.54
2022-10-13,Ilya Sorokin,home,New York Islanders,Florida Panthers,58.4167,2,4.13
2022-10-13,Sergei Bobrovsky,away,Florida Panthers,New York Islanders,59.65,1,3.94
2022-10-13,Ilya Samsonov,home,Toronto Maple Leafs,Washington Capitals,59.9833,2,2.23
2022-10-13,Charlie Lindgren,away,Washington Capitals,Toronto Maple Leafs,56.5167,3,4.24
2022-10-13,Juuse Saros,home,Nashville Predators,Dallas Stars,58.2167,4,3.02
2022-10-13,Jake Oettinger,away,Dallas Stars,Nashville Predators,60.0,1,2.05
2022-10-13,Marc-Andre Fleury,home,Minnesota Wild,New York Rangers,58.85,7,3.11
2022-10-13,Igor Shesterkin,away,New York Rangers,Minnesota Wild,59.3167,3,3.95
2022-10-13,Jacob Markstrom,home,Calgary Flames,Colorado Avalanche,60.0,3,2.35
2022-10-13,Pavel Francouz,away,Colorado Avalanche,Calgary Flames,57.6333,5,2.77
2022-10-13,Logan Thompson,home,Vegas Golden Knights,Chicago Blackhawks,59.9,0,2.16
2022-10-13,Alex Stalock,away,Chicago Blackhawks,Vegas Golden Knights,58.2333,1,3.73
2022-10-13,Jonathan Quick,home,Los Angeles Kings,Seattle Kraken,57.9833,3,2.33
2022-10-13,Martin Jones,away,Seattle Kraken,Los Angeles Kings,60.0,1,2.51
