,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Date,Player,Venue,Team,Opposition,TOI,Goals Against,Expected Goals Against,Season
0,0,0,0,0,2008-10-04,Mike Smith,home,Tampa Bay Lightning,New York Rangers,59.5,2,2.89,20082009
1,1,1,1,1,2008-10-04,Henrik Lundqvist,away,New York Rangers,Tampa Bay Lightning,60.0,1,2.31,20082009
2,2,2,2,2,2008-10-04,Martin Gerber,home,Ottawa Senators,Pittsburgh Penguins,64.5833,4,2.33,20082009
3,3,3,3,3,2008-10-04,Marc-Andre Fleury,away,Pittsburgh Penguins,Ottawa Senators,64.5667,3,2.72,20082009
4,4,4,4,4,2008-10-05,Henrik Lundqvist,home,New York Rangers,Tampa Bay Lightning,60.0,1,1.54,20082009
5,5,5,5,5,2008-10-05,Olie Kolzig,away,Tampa Bay Lightning,New York Rangers,59.1833,2,2.79,20082009
6,6,6,6,6,2008-10-05,Marc-Andre Fleury,home,Pittsburgh Penguins,Ottawa Senators,59.5167,3,2.41,20082009
7,7,7,7,7,2008-10-05,Alex Auld,away,Ottawa Senators,Pittsburgh Penguins,59.8167,1,2.5,20082009
8,8,8,8,8,2008-10-09,Chris Osgood,home,Detroit Red Wings,Toronto Maple Leafs,59.1667,3,2.52,20082009
9,9,9,9,9,2008-10-09,Vesa Toskala,away,Toronto Maple Leafs,Detroit Red Wings,60.0,2,2.3,20082009
10,10,10,10,10,2008-10-09,Peter Budaj,home,Colorado Avalanche,Boston Bruins,59.1833,5,1.73,20082009
11,11,11,11,11,2008-10-09,Tim Thomas,away,Boston Bruins,Colorado Avalanche,59.6833,4,4.03,20082009
12,12,12,12,12,2008-10-09,Roberto Luongo,home,Vancouver Canucks,Calgary Flames,60.0,0,2.88,20082009
13,13,13,13,13,2008-10-09,Miikka Kiprusoff,away,Calgary Flames,Vancouver Canucks,59.9667,6,2.43,20082009
14,14,14,14,14,2008-10-09,Evgeni Nabokov,home,San Jose Sharks,Anaheim Ducks,60.0,1,1.64,20082009
15,15,15,15,15,2008-10-09,Jean-Sebastien Giguere,away,Anaheim Ducks,San Jose Sharks,59.95,4,3.67,20082009
16,16,16,16,16,2008-10-10,Martin Brodeur,home,New Jersey Devils,New York Islanders,59.8167,1,1.92,20082009
17,17,17,17,17,2008-10-10,Joey MacDonald,away,New York Islanders,New Jersey Devils,39.5833,2,2.24,20082009
18,18,18,18,18,2008-10-10,Henrik Lundqvist,home,New York Rangers,Chicago Blackhawks,60.0,2,3.75,20082009
19,19,19,19,19,2008-10-10,Cristobal Huet,away,Chicago Blackhawks,New York Rangers,59.5667,4,2.96,20082009
20,20,20,20,20,2008-10-10,Cam Ward,home,Carolina Hurricanes,Florida Panthers,59.7167,4,3.74,20082009
21,21,21,21,21,2008-10-10,Tomas Vokoun,away,Florida Panthers,Carolina Hurricanes,59.45,5,3.07,20082009
22,22,22,22,22,2008-10-10,Ryan Miller,home,Buffalo Sabres,Montreal Canadiens,64.7833,1,2.3,20082009
23,23,23,23,23,2008-10-10,Carey Price,away,Montreal Canadiens,Buffalo Sabres,64.9833,1,2.46,20082009
24,24,24,24,24,2008-10-10,Kari Lehtonen,home,Atlanta Thrashers,Washington Capitals,60.0,4,3.56,20082009
25,25,25,25,25,2008-10-10,Brent Johnson,away,Washington Capitals,Atlanta Thrashers,30.5,3,1.04,20082009
26,26,26,26,26,2008-10-10,Jose Theodore,away,Washington Capitals,Atlanta Thrashers,29.5,4,1.84,20082009
27,27,27,27,27,2008-10-10,Manny Legace,home,St Louis Blues,Nashville Predators,60.0,2,1.98,20082009
28,28,28,28,28,2008-10-10,Dan Ellis,away,Nashville Predators,St Louis Blues,59.9667,5,2.43,20082009
29,29,29,29,29,2008-10-10,Marty Turco,home,Dallas Stars,Columbus Blue Jackets,64.5333,5,2.27,20082009
30,30,30,30,30,2008-10-10,Pascal Leclaire,away,Columbus Blue Jackets,Dallas Stars,64.5833,4,3.09,20082009
31,31,31,31,31,2008-10-11,Curtis Joseph,home,Toronto Maple Leafs,Montreal Canadiens,20.0,0,1.45,20082009
32,32,32,32,32,2008-10-11,Vesa Toskala,home,Toronto Maple Leafs,Montreal Canadiens,40.0,6,1.86,20082009
33,33,33,33,33,2008-10-11,Jaroslav Halak,away,Montreal Canadiens,Toronto Maple Leafs,59.95,1,2.34,20082009
34,34,34,34,34,2008-10-11,Martin Gerber,home,Ottawa Senators,Detroit Red Wings,58.8667,3,2.25,20082009
35,35,35,35,35,2008-10-11,Chris Osgood,away,Detroit Red Wings,Ottawa Senators,60.0,2,1.54,20082009
36,36,36,36,36,2008-10-11,Joey MacDonald,home,New York Islanders,St Louis Blues,60.0,2,2.8,20082009
37,37,37,37,37,2008-10-11,Chris Mason,away,St Louis Blues,New York Islanders,59.3833,4,3.52,20082009
38,38,38,38,38,2008-10-11,Antero Niittymaki,home,Philadelphia Flyers,New York Rangers,43.1667,0,1.15,20082009
39,39,39,39,39,2008-10-11,Martin Biron,home,Philadelphia Flyers,New York Rangers,16.2167,4,1.61,20082009
40,40,40,40,40,2008-10-11,Steve Valiquette,away,New York Rangers,Philadelphia Flyers,40.0,3,2.95,20082009
41,41,41,41,41,2008-10-11,Jose Theodore,home,Washington Capitals,Chicago Blackhawks,60.0,2,2.66,20082009
42,42,42,42,42,2008-10-11,Nikolai Khabibulin,away,Chicago Blackhawks,Washington Capitals,58.7833,4,3.22,20082009
43,43,43,43,43,2008-10-11,Tomas Vokoun,home,Florida Panthers,Atlanta Thrashers,63.8833,2,2.18,20082009
44,44,44,44,44,2008-10-11,Johan Hedberg,away,Atlanta Thrashers,Florida Panthers,3.6167,0,0.18,20082009
45,45,45,45,45,2008-10-11,Kari Lehtonen,away,Atlanta Thrashers,Florida Panthers,60.15,3,2.6,20082009
46,46,46,46,46,2008-10-11,Marc-Andre Fleury,home,Pittsburgh Penguins,New Jersey Devils,64.3667,2,3.05,20082009
47,47,47,47,47,2008-10-11,Martin Brodeur,away,New Jersey Devils,Pittsburgh Penguins,64.3,1,1.65,20082009
48,48,48,48,48,2008-10-11,Mike Smith,home,Tampa Bay Lightning,Carolina Hurricanes,64.1833,4,3.47,20082009
49,49,49,49,49,2008-10-11,Michael Leighton,away,Carolina Hurricanes,Tampa Bay Lightning,64.5333,3,2.08,20082009
50,50,50,50,50,2008-10-11,Dan Ellis,home,Nashville Predators,Dallas Stars,59.4833,1,1.85,20082009
51,51,51,51,51,2008-10-11,Marty Turco,away,Dallas Stars,Nashville Predators,58.1167,3,3.77,20082009
52,52,52,52,52,2008-10-11,Niklas Backstrom,home,Minnesota Wild,Boston Bruins,60.0,3,2.57,20082009
53,53,53,53,53,2008-10-11,Manny Fernandez,away,Boston Bruins,Minnesota Wild,59.2667,4,2.21,20082009
54,54,54,54,54,2008-10-11,Miikka Kiprusoff,home,Calgary Flames,Vancouver Canucks,63.8,5,3.16,20082009
55,55,55,55,55,2008-10-11,Roberto Luongo,away,Vancouver Canucks,Calgary Flames,63.9,4,2.79,20082009
56,56,56,56,56,2008-10-11,Ilya Bryzgalov,home,Phoenix Coyotes,Columbus Blue Jackets,60.0,1,3.23,20082009
57,57,57,57,57,2008-10-11,Pascal Leclaire,away,Columbus Blue Jackets,Phoenix Coyotes,57.4,3,2.38,20082009
58,58,58,58,58,2008-10-11,Evgeni Nabokov,home,San Jose Sharks,Los Angeles Kings,59.8667,1,1.64,20082009
59,59,59,59,59,2008-10-11,Jason LaBarbera,away,Los Angeles Kings,San Jose Sharks,60.0,3,4.78,20082009
60,60,60,60,60,2008-10-12,Mathieu Garon,home,Edmonton Oilers,Colorado Avalanche,60.0,2,3.45,20082009
61,61,61,61,61,2008-10-12,Peter Budaj,away,Colorado Avalanche,Edmonton Oilers,59.7,3,1.75,20082009
62,62,62,62,62,2008-10-12,Jean-Sebastien Giguere,home,Anaheim Ducks,Phoenix Coyotes,59.5833,4,2.29,20082009
63,63,63,63,63,2008-10-12,Ilya Bryzgalov,away,Phoenix Coyotes,Anaheim Ducks,59.9833,2,2.61,20082009
64,64,64,64,64,2008-10-12,Jason LaBarbera,home,Los Angeles Kings,San Jose Sharks,58.85,1,2.1,20082009
65,65,65,65,65,2008-10-12,Brian Boucher,away,San Jose Sharks,Los Angeles Kings,59.9833,0,2.0,20082009
66,66,66,66,66,2008-10-13,Vesa Toskala,home,Toronto Maple Leafs,St Louis Blues,65.0,4,2.32,20082009
67,67,67,67,67,2008-10-13,Manny Legace,away,St Louis Blues,Toronto Maple Leafs,65.0,4,2.99,20082009
68,68,68,68,68,2008-10-13,Joey MacDonald,home,New York Islanders,Buffalo Sabres,60.0,7,2.84,20082009
69,69,69,69,69,2008-10-13,Patrick Lalime,away,Buffalo Sabres,New York Islanders,60.0,1,1.99,20082009
70,70,70,70,70,2008-10-13,Henrik Lundqvist,home,New York Rangers,New Jersey Devils,59.95,1,2.65,20082009
71,71,71,71,71,2008-10-13,Martin Brodeur,away,New Jersey Devils,New York Rangers,58.5667,3,1.48,20082009
72,72,72,72,72,2008-10-13,Martin Biron,home,Philadelphia Flyers,Montreal Canadiens,59.3667,4,2.4,20082009
73,73,73,73,73,2008-10-13,Carey Price,away,Montreal Canadiens,Philadelphia Flyers,60.0,3,2.57,20082009
74,74,74,74,74,2008-10-13,Brent Johnson,home,Washington Capitals,Vancouver Canucks,59.7333,1,1.58,20082009
75,75,75,75,75,2008-10-13,Roberto Luongo,away,Vancouver Canucks,Washington Capitals,40.0,5,2.92,20082009
76,76,76,76,76,2008-10-13,Curtis Sanford,away,Vancouver Canucks,Washington Capitals,20.0,0,0.55,20082009
77,77,77,77,77,2008-10-13,Cam Ward,home,Carolina Hurricanes,Detroit Red Wings,59.1833,2,2.96,20082009
78,78,78,78,78,2008-10-13,Ty Conklin,away,Detroit Red Wings,Carolina Hurricanes,59.9,1,1.8,20082009
79,79,79,79,79,2008-10-13,Cristobal Huet,home,Chicago Blackhawks,Nashville Predators,64.9,2,2.03,20082009
80,80,80,80,80,2008-10-13,Dan Ellis,away,Nashville Predators,Chicago Blackhawks,65.0,2,2.76,20082009
81,81,81,81,81,2008-10-14,Marc-Andre Fleury,home,Pittsburgh Penguins,Philadelphia Flyers,64.6667,2,1.81,20082009
82,82,82,82,82,2008-10-14,Antero Niittymaki,away,Philadelphia Flyers,Pittsburgh Penguins,64.7,3,2.52,20082009
83,83,83,83,83,2008-10-14,Kari Lehtonen,home,Atlanta Thrashers,Minnesota Wild,57.9167,4,2.7,20082009
