,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Date,Player,Venue,Team,Opposition,TOI,Goals Against,Expected Goals Against,Season
0,0,0,0,0,2013-10-01,Carey Price,home,Montreal Canadiens,Toronto Maple Leafs,59.0333,4,3.82,20132014
1,1,1,1,1,2013-10-01,James Reimer,away,Toronto Maple Leafs,Montreal Canadiens,59.8,3,3.04,20132014
2,2,2,2,2,2013-10-01,Corey Crawford,home,Chicago Blackhawks,Washington Capitals,59.9667,4,2.74,20132014
3,3,3,3,3,2013-10-01,Braden Holtby,away,Washington Capitals,Chicago Blackhawks,59.25,5,2.37,20132014
4,4,4,4,4,2013-10-01,Devan Dubnyk,home,Edmonton Oilers,Winnipeg Jets,57.8833,5,3.49,20132014
5,5,5,5,5,2013-10-01,Ondrej Pavelec,away,Winnipeg Jets,Edmonton Oilers,60.0,4,4.21,20132014
6,6,6,6,6,2013-10-02,Steve Mason,home,Philadelphia Flyers,Toronto Maple Leafs,59.4333,3,1.9,20132014
7,7,7,7,7,2013-10-02,Jonathan Bernier,away,Toronto Maple Leafs,Philadelphia Flyers,60.0,1,3.67,20132014
8,8,8,8,8,2013-10-02,Jimmy Howard,home,Detroit Red Wings,Buffalo Sabres,60.0,1,1.48,20132014
9,9,9,9,9,2013-10-02,Ryan Miller,away,Buffalo Sabres,Detroit Red Wings,58.8333,2,1.95,20132014
10,10,10,10,10,2013-10-02,Semyon Varlamov,home,Colorado Avalanche,Anaheim Ducks,60.0,1,2.33,20132014
11,11,11,11,11,2013-10-02,Viktor Fasth,away,Anaheim Ducks,Colorado Avalanche,60.0,6,2.49,20132014
12,12,12,12,12,2013-10-03,Tuukka Rask,home,Boston Bruins,Tampa Bay Lightning,60.0,1,2.47,20132014
13,13,13,13,13,2013-10-03,Anders Lindback,away,Tampa Bay Lightning,Boston Bruins,58.05,3,2.12,20132014
14,14,14,14,14,2013-10-03,Marc-Andre Fleury,home,Pittsburgh Penguins,New Jersey Devils,60.0,0,2.35,20132014
15,15,15,15,15,2013-10-03,Cory Schneider,away,New Jersey Devils,Pittsburgh Penguins,60.0,3,1.51,20132014
16,16,16,16,16,2013-10-03,Michal Neuvirth,home,Washington Capitals,Calgary Flames,48.6333,1,2.61,20132014
17,17,17,17,17,2013-10-03,Braden Holtby,home,Washington Capitals,Calgary Flames,16.3667,3,1.44,20132014
18,18,18,18,18,2013-10-03,Karri Ramo,away,Calgary Flames,Washington Capitals,65.0,4,2.94,20132014
19,19,19,19,19,2013-10-03,Jaroslav Halak,home,St Louis Blues,Nashville Predators,60.0,2,2.26,20132014
20,20,20,20,20,2013-10-03,Carter Hutton,away,Nashville Predators,St Louis Blues,50.25,1,1.29,20132014
21,21,21,21,21,2013-10-03,Pekka Rinne,away,Nashville Predators,St Louis Blues,9.75,3,0.59,20132014
22,22,22,22,22,2013-10-03,Niklas Backstrom,home,Minnesota Wild,Los Angeles Kings,65.0,2,1.38,20132014
23,23,23,23,23,2013-10-03,Jonathan Quick,away,Los Angeles Kings,Minnesota Wild,65.0,2,2.66,20132014
24,24,24,24,24,2013-10-03,Kari Lehtonen,home,Dallas Stars,Florida Panthers,58.6333,3,3.46,20132014
25,25,25,25,25,2013-10-03,Tim Thomas,away,Florida Panthers,Dallas Stars,60.0,2,2.46,20132014
26,26,26,26,26,2013-10-03,Mike Smith,home,Phoenix Coyotes,New York Rangers,60.0,1,1.8,20132014
27,27,27,27,27,2013-10-03,Henrik Lundqvist,away,New York Rangers,Phoenix Coyotes,60.0,4,3.19,20132014
28,28,28,28,28,2013-10-03,Antti Niemi,home,San Jose Sharks,Vancouver Canucks,59.8833,1,2.15,20132014
29,29,29,29,29,2013-10-03,Roberto Luongo,away,Vancouver Canucks,San Jose Sharks,59.95,4,3.99,20132014
30,30,30,30,30,2013-10-04,Ryan Miller,home,Buffalo Sabres,Ottawa Senators,58.6833,1,3.28,20132014
31,31,31,31,31,2013-10-04,Craig Anderson,away,Ottawa Senators,Buffalo Sabres,60.0,0,2.62,20132014
32,32,32,32,32,2013-10-04,Martin Brodeur,home,New Jersey Devils,New York Islanders,65.0,3,1.73,20132014
33,33,33,33,33,2013-10-04,Evgeni Nabokov,away,New York Islanders,New Jersey Devils,65.0,3,2.51,20132014
34,34,34,34,34,2013-10-04,Cam Ward,home,Carolina Hurricanes,Detroit Red Wings,63.2167,3,3.78,20132014
35,35,35,35,35,2013-10-04,Jimmy Howard,away,Detroit Red Wings,Carolina Hurricanes,62.0833,2,3.09,20132014
36,36,36,36,36,2013-10-04,Sergei Bobrovsky,home,Columbus Blue Jackets,Calgary Flames,59.7833,4,2.65,20132014
37,37,37,37,37,2013-10-04,Joey MacDonald,away,Calgary Flames,Columbus Blue Jackets,60.0,3,2.79,20132014
38,38,38,38,38,2013-10-04,Ondrej Pavelec,home,Winnipeg Jets,Los Angeles Kings,60.0,3,3.59,20132014
39,39,39,39,39,2013-10-04,Jonathan Quick,away,Los Angeles Kings,Winnipeg Jets,45.3167,4,2.69,20132014
40,40,40,40,40,2013-10-04,Ben Scrivens,away,Los Angeles Kings,Winnipeg Jets,14.3333,0,0.25,20132014
41,41,41,41,41,2013-10-04,Semyon Varlamov,home,Colorado Avalanche,Nashville Predators,59.8,1,2.18,20132014
42,42,42,42,42,2013-10-04,Pekka Rinne,away,Nashville Predators,Colorado Avalanche,59.1,2,2.43,20132014
43,43,43,43,43,2013-10-05,Tuukka Rask,home,Boston Bruins,Detroit Red Wings,60.0,1,1.32,20132014
44,44,44,44,44,2013-10-05,Jimmy Howard,away,Detroit Red Wings,Boston Bruins,60.0,4,2.39,20132014
45,45,45,45,45,2013-10-05,James Reimer,home,Toronto Maple Leafs,Ottawa Senators,30.9333,4,1.46,20132014
46,46,46,46,46,2013-10-05,Jonathan Bernier,home,Toronto Maple Leafs,Ottawa Senators,34.0667,0,0.67,20132014
47,47,47,47,47,2013-10-05,Craig Anderson,away,Ottawa Senators,Toronto Maple Leafs,65.0,4,3.67,20132014
48,48,48,48,48,2013-10-05,Carey Price,home,Montreal Canadiens,Philadelphia Flyers,59.8833,1,2.35,20132014
49,49,49,49,49,2013-10-05,Ray Emery,away,Philadelphia Flyers,Montreal Canadiens,59.9667,4,3.51,20132014
50,50,50,50,50,2013-10-05,Evgeni Nabokov,home,New York Islanders,Columbus Blue Jackets,65.0,2,2.7,20132014
51,51,51,51,51,2013-10-05,Sergei Bobrovsky,away,Columbus Blue Jackets,New York Islanders,65.0,2,2.76,20132014
52,52,52,52,52,2013-10-05,Marc-Andre Fleury,home,Pittsburgh Penguins,Buffalo Sabres,60.0,1,1.29,20132014
53,53,53,53,53,2013-10-05,Jhonas Enroth,away,Buffalo Sabres,Pittsburgh Penguins,59.95,3,4.59,20132014
54,54,54,54,54,2013-10-05,Corey Crawford,home,Chicago Blackhawks,Tampa Bay Lightning,64.9167,2,1.42,20132014
55,55,55,55,55,2013-10-05,Ben Bishop,away,Tampa Bay Lightning,Chicago Blackhawks,64.75,2,4.11,20132014
56,56,56,56,56,2013-10-05,Jaroslav Halak,home,St Louis Blues,Florida Panthers,59.7333,0,1.87,20132014
