,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Date,Player,Venue,Team,Opposition,TOI,Goals Against,Expected Goals Against,Season
0,0,0,0,0,2014-10-08,Jonathan Bernier,home,Toronto Maple Leafs,Montreal Canadiens,59.4833,4,2.64,20142015
1,1,1,1,1,2014-10-08,Carey Price,away,Montreal Canadiens,Toronto Maple Leafs,59.3333,3,2.1,20142015
2,2,2,2,2,2014-10-08,Tuukka Rask,home,Boston Bruins,Philadelphia Flyers,59.95,1,1.48,20142015
3,3,3,3,3,2014-10-08,Steve Mason,away,Philadelphia Flyers,Boston Bruins,58.7167,2,1.77,20142015
4,4,4,4,4,2014-10-08,Jonas Hiller,home,Calgary Flames,Vancouver Canucks,38.65,3,1.93,20142015
5,5,5,5,5,2014-10-08,Ryan Miller,away,Vancouver Canucks,Calgary Flames,60.0,2,1.67,20142015
6,6,6,6,6,2014-10-08,Martin Jones,home,Los Angeles Kings,San Jose Sharks,19.9,0,0.37,20142015
7,7,7,7,7,2014-10-08,Jonathan Quick,home,Los Angeles Kings,San Jose Sharks,40.0,4,2.71,20142015
8,8,8,8,8,2014-10-08,Antti Niemi,away,San Jose Sharks,Los Angeles Kings,60.0,0,2.69,20142015
9,9,9,9,9,2014-10-09,Jhonas Enroth,home,Buffalo Sabres,Columbus Blue Jackets,60.0,3,3.28,20142015
10,10,10,10,10,2014-10-09,Sergei Bobrovsky,away,Columbus Blue Jackets,Buffalo Sabres,59.7167,1,2.3,20142015
11,11,11,11,11,2014-10-09,Steve Mason,home,Philadelphia Flyers,New Jersey Devils,58.7167,5,2.8,20142015
12,12,12,12,12,2014-10-09,Cory Schneider,away,New Jersey Devils,Philadelphia Flyers,60.0,4,2.39,20142015
13,13,13,13,13,2014-10-09,Marc-Andre Fleury,home,Pittsburgh Penguins,Anaheim Ducks,60.0,4,3.73,20142015
14,14,14,14,14,2014-10-09,John Gibson,away,Anaheim Ducks,Pittsburgh Penguins,60.0,6,3.18,20142015
15,15,15,15,15,2014-10-09,Braden Holtby,home,Washington Capitals,Montreal Canadiens,65.0,1,1.91,20142015
16,16,16,16,16,2014-10-09,Dustin Tokarski,away,Montreal Canadiens,Washington Capitals,65.0,1,2.42,20142015
17,17,17,17,17,2014-10-09,Jimmy Howard,home,Detroit Red Wings,Boston Bruins,60.0,1,1.21,20142015
18,18,18,18,18,2014-10-09,Tuukka Rask,away,Boston Bruins,Detroit Red Wings,58.1,2,2.07,20142015
19,19,19,19,19,2014-10-09,Ben Bishop,home,Tampa Bay Lightning,Florida Panthers,61.1833,2,1.28,20142015
20,20,20,20,20,2014-10-09,Roberto Luongo,away,Florida Panthers,Tampa Bay Lightning,60.9333,3,2.84,20142015
21,21,21,21,21,2014-10-09,Brian Elliott,home,St Louis Blues,New York Rangers,59.1667,3,1.46,20142015
22,22,22,22,22,2014-10-09,Henrik Lundqvist,away,New York Rangers,St Louis Blues,60.0,2,2.44,20142015
23,23,23,23,23,2014-10-09,Pekka Rinne,home,Nashville Predators,Ottawa Senators,60.0,2,1.59,20142015
24,24,24,24,24,2014-10-09,Craig Anderson,away,Ottawa Senators,Nashville Predators,59.3167,3,3.1,20142015
25,25,25,25,25,2014-10-09,Kari Lehtonen,home,Dallas Stars,Chicago Blackhawks,65.0,2,2.22,20142015
26,26,26,26,26,2014-10-09,Corey Crawford,away,Chicago Blackhawks,Dallas Stars,65.0,2,4.34,20142015
27,27,27,27,27,2014-10-09,Darcy Kuemper,home,Minnesota Wild,Colorado Avalanche,59.8667,0,1.31,20142015
28,28,28,28,28,2014-10-09,Semyon Varlamov,away,Colorado Avalanche,Minnesota Wild,40.0,5,3.47,20142015
29,29,29,29,29,2014-10-09,Reto Berra,away,Colorado Avalanche,Minnesota Wild,20.0,0,0.96,20142015
30,30,30,30,30,2014-10-09,Ben Scrivens,home,Edmonton Oilers,Calgary Flames,59.0833,5,2.27,20142015
31,31,31,31,31,2014-10-09,Karri Ramo,away,Calgary Flames,Edmonton Oilers,60.0,2,2.75,20142015
32,32,32,32,32,2014-10-09,Mike Smith,home,Arizona Coyotes,Winnipeg Jets,59.9667,6,2.29,20142015
33,33,33,33,33,2014-10-09,Ondrej Pavelec,away,Winnipeg Jets,Arizona Coyotes,60.0,2,2.86,20142015
34,34,34,34,34,2014-10-10,Cam Ward,home,Carolina Hurricanes,New York Islanders,60.0667,5,2.46,20142015
35,35,35,35,35,2014-10-10,Jaroslav Halak,away,New York Islanders,Carolina Hurricanes,59.9833,3,3.75,20142015
36,36,36,36,36,2014-10-11,Tuukka Rask,home,Boston Bruins,Washington Capitals,60.0,4,1.86,20142015
37,37,37,37,37,2014-10-11,Braden Holtby,away,Washington Capitals,Boston Bruins,60.0,0,2.3,20142015
38,38,38,38,38,2014-10-11,Jonathan Bernier,home,Toronto Maple Leafs,Pittsburgh Penguins,60.0,5,4.19,20142015
39,39,39,39,39,2014-10-11,Marc-Andre Fleury,away,Pittsburgh Penguins,Toronto Maple Leafs,59.8333,2,3.49,20142015
40,40,40,40,40,2014-10-11,Jimmy Howard,home,Detroit Red Wings,Anaheim Ducks,59.6667,3,1.63,20142015
41,41,41,41,41,2014-10-11,Frederik Andersen,away,Anaheim Ducks,Detroit Red Wings,60.0,2,2.27,20142015
42,42,42,42,42,2014-10-11,Ben Bishop,home,Tampa Bay Lightning,Ottawa Senators,64.7667,2,2.65,20142015
43,43,43,43,43,2014-10-11,Robin Lehner,away,Ottawa Senators,Tampa Bay Lightning,65.0,2,2.88,20142015
44,44,44,44,44,2014-10-11,Roberto Luongo,home,Florida Panthers,New Jersey Devils,22.7833,5,0.89,20142015
45,45,45,45,45,2014-10-11,Al Montoya,home,Florida Panthers,New Jersey Devils,37.0167,0,0.78,20142015
46,46,46,46,46,2014-10-11,Cory Schneider,away,New Jersey Devils,Florida Panthers,60.0,1,1.97,20142015
47,47,47,47,47,2014-10-11,Chad Johnson,home,New York Islanders,Carolina Hurricanes,59.85,3,2.59,20142015
48,48,48,48,48,2014-10-11,Anton Khudobin,away,Carolina Hurricanes,New York Islanders,38.4333,4,3.03,20142015
49,49,49,49,49,2014-10-11,Ray Emery,home,Philadelphia Flyers,Montreal Canadiens,65.0,3,4.14,20142015
50,50,50,50,50,2014-10-11,Carey Price,away,Montreal Canadiens,Philadelphia Flyers,64.5,3,3.58,20142015
51,51,51,51,51,2014-10-11,Sergei Bobrovsky,home,Columbus Blue Jackets,New York Rangers,60.0,2,2.22,20142015
52,52,52,52,52,2014-10-11,Cam Talbot,away,New York Rangers,Columbus Blue Jackets,58.3667,4,2.4,20142015
53,53,53,53,53,2014-10-11,Brian Elliott,home,St Louis Blues,Calgary Flames,59.5667,1,1.71,20142015
54,54,54,54,54,2014-10-11,Jonas Hiller,away,Calgary Flames,St Louis Blues,60.0,4,3.82,20142015
55,55,55,55,55,2014-10-11,Pekka Rinne,home,Nashville Predators,Dallas Stars,60.0,1,1.38,20142015
56,56,56,56,56,2014-10-11,Anders Lindback,away,Dallas Stars,Nashville Predators,59.3667,3,2.58,20142015
