,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Date,Player,Venue,Team,Opposition,TOI,Goals Against,Expected Goals Against,Season
0,0,0,0,0,2010-10-07,Jean-Sebastien Giguere,home,Toronto Maple Leafs,Montreal Canadiens,58.8167,2,3.32,20102011
1,1,1,1,1,2010-10-07,Carey Price,away,Montreal Canadiens,Toronto Maple Leafs,58.9833,3,1.38,20102011
2,2,2,2,2,2010-10-07,Marc-Andre Fleury,home,Pittsburgh Penguins,Philadelphia Flyers,58.7833,3,2.15,20102011
3,3,3,3,3,2010-10-07,Sergei Bobrovsky,away,Philadelphia Flyers,Pittsburgh Penguins,60.0,2,3.22,20102011
4,4,4,4,4,2010-10-07,Niklas Backstrom,home,Minnesota Wild,Carolina Hurricanes,58.75,4,2.74,20102011
5,5,5,5,5,2010-10-07,Cam Ward,away,Carolina Hurricanes,Minnesota Wild,60.0,3,2.22,20102011
6,6,6,6,6,2010-10-07,Craig Anderson,home,Colorado Avalanche,Chicago Blackhawks,63.5,3,2.96,20102011
7,7,7,7,7,2010-10-07,Marty Turco,away,Chicago Blackhawks,Colorado Avalanche,63.4833,4,3.4,20102011
8,8,8,8,8,2010-10-07,Nikolai Khabibulin,home,Edmonton Oilers,Calgary Flames,60.0,0,3.79,20102011
9,9,9,9,9,2010-10-07,Miikka Kiprusoff,away,Calgary Flames,Edmonton Oilers,59.7833,4,3.64,20102011
10,10,10,10,10,2010-10-08,Steve Mason,home,Columbus Blue Jackets,San Jose Sharks,57.9667,3,3.93,20102011
11,11,11,11,11,2010-10-08,Antti Niemi,away,San Jose Sharks,Columbus Blue Jackets,60.0,2,3.86,20102011
12,12,12,12,12,2010-10-08,Martin Brodeur,home,New Jersey Devils,Dallas Stars,61.6,4,2.45,20102011
13,13,13,13,13,2010-10-08,Kari Lehtonen,away,Dallas Stars,New Jersey Devils,61.55,3,2.2,20102011
14,14,14,14,14,2010-10-08,Cam Ward,home,Carolina Hurricanes,Minnesota Wild,65.0,1,4.5,20102011
15,15,15,15,15,2010-10-08,Niklas Backstrom,away,Minnesota Wild,Carolina Hurricanes,64.7,1,2.58,20102011
16,16,16,16,16,2010-10-08,Jimmy Howard,home,Detroit Red Wings,Anaheim Ducks,59.55,0,2.6,20102011
17,17,17,17,17,2010-10-08,Jonas Hiller,away,Anaheim Ducks,Detroit Red Wings,60.0,4,3.63,20102011
18,18,18,18,18,2010-10-08,Pascal Leclaire,home,Ottawa Senators,Buffalo Sabres,58.7,2,3.6,20102011
19,19,19,19,19,2010-10-08,Ryan Miller,away,Buffalo Sabres,Ottawa Senators,59.8333,1,2.05,20102011
20,20,20,20,20,2010-10-08,Ondrej Pavelec,home,Atlanta Thrashers,Washington Capitals,2.4167,0,0.06,20102011
21,21,21,21,21,2010-10-08,Chris Mason,home,Atlanta Thrashers,Washington Capitals,57.5833,2,2.65,20102011
22,22,22,22,22,2010-10-08,Michal Neuvirth,away,Washington Capitals,Atlanta Thrashers,59.1667,4,2.02,20102011
23,23,23,23,23,2010-10-09,Tuukka Rask,home,Boston Bruins,Phoenix Coyotes,59.7833,4,2.93,20102011
24,24,24,24,24,2010-10-09,Ilya Bryzgalov,away,Phoenix Coyotes,Boston Bruins,60.0,2,3.68,20102011
25,25,25,25,25,2010-10-09,Ryan Miller,home,Buffalo Sabres,New York Rangers,58.2167,5,2.6,20102011
26,26,26,26,26,2010-10-09,Henrik Lundqvist,away,New York Rangers,Buffalo Sabres,60.0,3,2.57,20102011
27,27,27,27,27,2010-10-09,Jean-Sebastien Giguere,home,Toronto Maple Leafs,Ottawa Senators,60.0,1,1.45,20102011
28,28,28,28,28,2010-10-09,Pascal Leclaire,away,Ottawa Senators,Toronto Maple Leafs,59.9167,5,2.67,20102011
29,29,29,29,29,2010-10-09,Rick DiPietro,home,New York Islanders,Dallas Stars,65.0,4,2.41,20102011
30,30,30,30,30,2010-10-09,Kari Lehtonen,away,Dallas Stars,New York Islanders,64.9,4,5.56,20102011
31,31,31,31,31,2010-10-09,Marc-Andre Fleury,home,Pittsburgh Penguins,Montreal Canadiens,58.65,3,2.1,20102011
32,32,32,32,32,2010-10-09,Carey Price,away,Montreal Canadiens,Pittsburgh Penguins,60.0,2,2.56,20102011
33,33,33,33,33,2010-10-09,Michal Neuvirth,home,Washington Capitals,New Jersey Devils,59.9667,2,2.54,20102011
34,34,34,34,34,2010-10-09,Johan Hedberg,away,New Jersey Devils,Washington Capitals,20.0,2,1.01,20102011
35,35,35,35,35,2010-10-09,Martin Brodeur,away,New Jersey Devils,Washington Capitals,40.0,5,1.48,20102011
36,36,36,36,36,2010-10-09,Mike Smith,home,Tampa Bay Lightning,Atlanta Thrashers,60.0,3,2.66,20102011
37,37,37,37,37,2010-10-09,Chris Mason,away,Atlanta Thrashers,Tampa Bay Lightning,58.5167,5,2.8,20102011
38,38,38,38,38,2010-10-09,Jaroslav Halak,home,St Louis Blues,Philadelphia Flyers,61.1,1,3.18,20102011
39,39,39,39,39,2010-10-09,Brian Boucher,away,Philadelphia Flyers,St Louis Blues,61.7833,2,3.14,20102011
40,40,40,40,40,2010-10-09,Pekka Rinne,home,Nashville Predators,Anaheim Ducks,42.6,1,2.15,20102011
41,41,41,41,41,2010-10-09,Anders Lindback,home,Nashville Predators,Anaheim Ducks,17.3667,0,0.4,20102011
42,42,42,42,42,2010-10-09,Jonas Hiller,away,Anaheim Ducks,Nashville Predators,60.0,4,4.14,20102011
43,43,43,43,43,2010-10-09,Marty Turco,home,Chicago Blackhawks,Detroit Red Wings,59.1667,3,1.93,20102011
44,44,44,44,44,2010-10-09,Chris Osgood,away,Detroit Red Wings,Chicago Blackhawks,59.65,2,1.88,20102011
45,45,45,45,45,2010-10-09,Antero Niittymaki,home,San Jose Sharks,Columbus Blue Jackets,61.3833,3,1.78,20102011
46,46,46,46,46,2010-10-09,Steve Mason,away,Columbus Blue Jackets,San Jose Sharks,61.9333,2,3.43,20102011
47,47,47,47,47,2010-10-09,Roberto Luongo,home,Vancouver Canucks,Los Angeles Kings,65.0,1,2.81,20102011
48,48,48,48,48,2010-10-09,Jonathan Quick,away,Los Angeles Kings,Vancouver Canucks,65.0,1,1.94,20102011
49,49,49,49,49,2010-10-10,Ilya Bryzgalov,home,Phoenix Coyotes,Boston Bruins,60.0,3,3.64,20102011
50,50,50,50,50,2010-10-10,Tim Thomas,away,Boston Bruins,Phoenix Coyotes,59.9333,0,2.73,20102011
