,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Date,Player,Venue,Team,Opposition,TOI,Goals Against,Expected Goals Against,Score,Season
0,0,0,0,0,10-4-2017,Cam Talbot,home,Edmonton Oilers,Calgary Flames,60.0,0,2.4,2.4,20172018
1,1,1,1,1,10-4-2017,Mike Smith,away,Calgary Flames,Edmonton Oilers,58.95,2,3.94,1.94,20172018
2,2,2,2,2,10-4-2017,Frederik Andersen,away,Toronto Maple Leafs,Winnipeg Jets,60.0,2,3.17,1.17,20172018
3,3,3,3,3,10-4-2017,Jake Allen,away,St Louis Blues,Pittsburgh Penguins,61.25,4,3.99,-0.01,20172018
4,4,4,4,4,10-4-2017,Brian Elliott,away,Philadelphia Flyers,San Jose Sharks,59.8833,3,2.95,-0.05,20172018
5,5,5,5,5,10-4-2017,Connor Hellebuyck,home,Winnipeg Jets,Toronto Maple Leafs,19.4,2,1.22,-0.78,20172018
6,6,6,6,6,10-4-2017,Martin Jones,home,San Jose Sharks,Philadelphia Flyers,58.7833,4,3.16,-0.84,20172018
7,7,7,7,7,10-4-2017,Matt Murray,home,Pittsburgh Penguins,St Louis Blues,61.25,5,3.1,-1.9,20172018
8,8,8,8,8,10-4-2017,Steve Mason,home,Winnipeg Jets,Toronto Maple Leafs,40.6,5,2.02,-2.98,20172018
9,9,9,9,9,10-5-2017,Jonathan Quick,home,Los Angeles Kings,Philadelphia Flyers,59.9833,0,3.5,3.5,20172018
10,10,10,10,10,10-5-2017,Semyon Varlamov,away,Colorado Avalanche,New York Rangers,59.9667,2,4.45,2.45,20172018
11,11,11,11,11,10-5-2017,Jimmy Howard,home,Detroit Red Wings,Minnesota Wild,60.0,2,3.76,1.76,20172018
12,12,12,12,12,10-5-2017,Carey Price,away,Montreal Canadiens,Buffalo Sabres,65.0,2,3.72,1.72,20172018
13,13,13,13,13,10-5-2017,Corey Crawford,home,Chicago Blackhawks,Pittsburgh Penguins,59.9333,1,2.09,1.09,20172018
14,14,14,14,14,10-5-2017,Michal Neuvirth,away,Philadelphia Flyers,Los Angeles Kings,58.5333,2,2.89,0.89,20172018
15,15,15,15,15,10-5-2017,Robin Lehner,home,Buffalo Sabres,Montreal Canadiens,64.8167,2,2.78,0.78,20172018
16,16,16,16,16,10-5-2017,Henrik Lundqvist,home,New York Rangers,Colorado Avalanche,58.3167,3,3.14,0.14,20172018
17,17,17,17,17,10-5-2017,Tuukka Rask,home,Boston Bruins,Nashville Predators,59.9,3,2.83,-0.17,20172018
18,18,18,18,18,10-5-2017,Pekka Rinne,away,Nashville Predators,Boston Bruins,56.6,3,2.41,-0.59,20172018
19,19,19,19,19,10-5-2017,John Gibson,home,Anaheim Ducks,Arizona Coyotes,59.8833,4,3.25,-0.75,20172018
20,20,20,20,20,10-5-2017,Devan Dubnyk,away,Minnesota Wild,Detroit Red Wings,58.3167,4,2.77,-1.23,20172018
21,21,21,21,21,10-5-2017,Braden Holtby,away,Washington Capitals,Ottawa Senators,65.0,4,2.31,-1.69,20172018
22,22,22,22,22,10-5-2017,Louis Domingue,away,Arizona Coyotes,Anaheim Ducks,58.2833,5,3.2,-1.8,20172018
23,23,23,23,23,10-5-2017,Craig Anderson,home,Ottawa Senators,Washington Capitals,65.0,4,2.14,-1.86,20172018
