Date,Player,Venue,Team,Opposition,TOI,Goals Against,Expected Goals Against
2021-10-12,Andrei Vasilevskiy,home,Tampa Bay Lightning,Pittsburgh Penguins,57.9,3,2.53
2021-10-12,Tristan Jarry,away,Pittsburgh Penguins,Tampa Bay Lightning,60.0,2,1.96
2021-10-12,Robin Lehner,home,Vegas Golden Knights,Seattle Kraken,59.7333,3,2.52
2021-10-12,Philipp Grubauer,away,Seattle Kraken,Vegas Golden Knights,58.65,4,3.47
2021-10-13,Jack Campbell,home,Toronto Maple Leafs,Montreal Canadiens,60.0,1,2.37
2021-10-13,Jake Allen,away,Montreal Canadiens,Toronto Maple Leafs,58.7167,2,3.58
2021-10-13,Vitek Vanecek,home,Washington Capitals,New York Rangers,60.0,1,2.81
2021-10-13,Alexandar Georgiev,away,New York Rangers,Washington Capitals,59.5667,5,2.0
2021-10-13,Darcy Kuemper,home,Colorado Avalanche,Chicago Blackhawks,60.0,2,2.07
2021-10-13,Marc-Andre Fleury,away,Chicago Blackhawks,Colorado Avalanche,56.5667,4,3.45
2021-10-13,Mike Smith,home,Edmonton Oilers,Vancouver Canucks,65.0,2,2.7
2021-10-13,Thatcher Demko,away,Vancouver Canucks,Edmonton Oilers,65.0,2,3.46
2021-10-14,Craig Anderson,home,Buffalo Sabres,Montreal Canadiens,59.95,1,1.7
2021-10-14,Sam Montembeault,away,Montreal Canadiens,Buffalo Sabres,60.0,5,2.79
2021-10-14,Anton Forsberg,home,Ottawa Senators,Toronto Maple Leafs,60.0,2,4.85
2021-10-14,Petr Mrazek,away,Toronto Maple Leafs,Ottawa Senators,40.0,3,3.55
2021-10-14,Jack Campbell,away,Toronto Maple Leafs,Ottawa Senators,19.45,0,0.81
2021-10-14,Alex Nedeljkovic,home,Detroit Red Wings,Tampa Bay Lightning,62.7167,7,4.26
2021-10-14,Andrei Vasilevskiy,away,Tampa Bay Lightning,Detroit Red Wings,62.1167,6,3.71
2021-10-14,Sergei Bobrovsky,home,Florida Panthers,Pittsburgh Penguins,61.3167,4,4.54
2021-10-14,Casey DeSmith,away,Pittsburgh Penguins,Florida Panthers,60.9167,5,3.08
2021-10-14,Igor Shesterkin,home,New York Rangers,Dallas Stars,61.6333,3,2.37
2021-10-14,Anton Khudobin,away,Dallas Stars,New York Rangers,13.5167,0,0.88
2021-10-14,Braden Holtby,away,Dallas Stars,New York Rangers,48.1167,2,2.74
2021-10-14,Frederik Andersen,home,Carolina Hurricanes,New York Islanders,60.0,3,3.14
2021-10-14,Ilya Sorokin,away,New York Islanders,Carolina Hurricanes,57.9667,5,3.64
2021-10-14,Elvis Merzlikins,home,Columbus Blue Jackets,Arizona Coyotes,60.0,2,3.33
2021-10-14,Carter Hutton,away,Arizona Coyotes,Columbus Blue Jackets,59.6833,8,2.0
2021-10-14,Juuse Saros,home,Nashville Predators,Seattle Kraken,59.1,3,1.28
2021-10-14,Philipp Grubauer,away,Seattle Kraken,Nashville Predators,59.9833,3,2.81
2021-10-13,John Gibson,home,Anaheim Ducks,Winnipeg Jets,60.0,1,3.31
2021-10-13,Connor Hellebuyck,away,Winnipeg Jets,Anaheim Ducks,58.7333,4,2.75
2021-10-14,Cal Petersen,home,Los Angeles Kings,Vegas Golden Knights,59.7167,2,2.15
2021-10-14,Laurent Brossoit,away,Vegas Golden Knights,Los Angeles Kings,20.0,2,1.04
2021-10-14,Robin Lehner,away,Vegas Golden Knights,Los Angeles Kings,40.0,4,2.7
2021-10-15,Jonathan Bernier,home,New Jersey Devils,Chicago Blackhawks,60.95,3,2.79
2021-10-15,Kevin Lankinen,away,Chicago Blackhawks,New Jersey Devils,58.1167,4,2.87
2021-10-15,Carter Hart,home,Philadelphia Flyers,Vancouver Canucks,63.45,4,3.09
2021-10-15,Thatcher Demko,away,Vancouver Canucks,Philadelphia Flyers,64.1667,4,3.08
2021-10-15,Anthony Stolarz,home,Anaheim Ducks,Minnesota Wild,59.9167,2,3.55
2021-10-15,Cam Talbot,away,Minnesota Wild,Anaheim Ducks,59.45,1,2.26
2021-10-16,Jeremy Swayman,home,Boston Bruins,Dallas Stars,59.8,1,2.4
2021-10-16,Braden Holtby,away,Dallas Stars,Boston Bruins,58.25,2,2.16
2021-10-16,Dustin Tokarski,home,Buffalo Sabres,Arizona Coyotes,65.0,1,1.39
2021-10-16,Karel Vejmelka,away,Arizona Coyotes,Buffalo Sabres,65.0,1,2.32
2021-10-16,Jack Campbell,home,Toronto Maple Leafs,Ottawa Senators,60.0,1,1.6
2021-10-16,Anton Forsberg,away,Ottawa Senators,Toronto Maple Leafs,57.4833,3,2.63
