,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Date,Player,Venue,Team,Opposition,TOI,Goals Against,Expected Goals Against,Season
0,0,0,0,0,2016-10-12,Craig Anderson,home,Ottawa Senators,Toronto Maple Leafs,60.6167,4,2.75,20162017
1,1,1,1,1,2016-10-12,Frederik Andersen,away,Toronto Maple Leafs,Ottawa Senators,60.6167,5,2.21,20162017
2,2,2,2,2,2016-10-12,Corey Crawford,home,Chicago Blackhawks,St Louis Blues,57.8833,3,3.13,20162017
3,3,3,3,3,2016-10-12,Jake Allen,away,St Louis Blues,Chicago Blackhawks,60.0,2,1.6,20162017
4,4,4,4,4,2016-10-12,Cam Talbot,home,Edmonton Oilers,Calgary Flames,59.55,4,3.44,20162017
5,5,5,5,5,2016-10-12,Brian Elliott,away,Calgary Flames,Edmonton Oilers,59.2667,6,2.7,20162017
6,6,6,6,6,2016-10-12,Martin Jones,home,San Jose Sharks,Los Angeles Kings,59.9667,1,1.53,20162017
7,7,7,7,7,2016-10-12,Jonathan Quick,away,Los Angeles Kings,San Jose Sharks,19.9333,1,2.21,20162017
8,8,8,8,8,2016-10-12,Jeff Zatkoff,away,Los Angeles Kings,San Jose Sharks,38.9333,1,1.57,20162017
9,9,9,9,9,2016-10-13,Robin Lehner,home,Buffalo Sabres,Montreal Canadiens,57.9333,4,2.06,20162017
10,10,10,10,10,2016-10-13,Al Montoya,away,Montreal Canadiens,Buffalo Sabres,60.0,1,2.26,20162017
11,11,11,11,11,2016-10-13,Henrik Lundqvist,home,New York Rangers,New York Islanders,60.0,3,3.07,20162017
12,12,12,12,12,2016-10-13,Jaroslav Halak,away,New York Islanders,New York Rangers,59.0333,4,5.08,20162017
13,13,13,13,13,2016-10-13,Marc-Andre Fleury,home,Pittsburgh Penguins,Washington Capitals,65.0,2,2.91,20162017
14,14,14,14,14,2016-10-13,Braden Holtby,away,Washington Capitals,Pittsburgh Penguins,64.7333,2,2.51,20162017
15,15,15,15,15,2016-10-13,Sergei Bobrovsky,home,Columbus Blue Jackets,Boston Bruins,58.2167,5,4.04,20162017
16,16,16,16,16,2016-10-13,Tuukka Rask,away,Boston Bruins,Columbus Blue Jackets,59.3667,3,3.06,20162017
17,17,17,17,17,2016-10-13,Ben Bishop,home,Tampa Bay Lightning,Detroit Red Wings,59.65,4,3.3,20162017
18,18,18,18,18,2016-10-13,Petr Mrazek,away,Detroit Red Wings,Tampa Bay Lightning,58.9167,5,3.09,20162017
19,19,19,19,19,2016-10-13,Roberto Luongo,home,Florida Panthers,New Jersey Devils,62.3833,1,1.24,20162017
20,20,20,20,20,2016-10-13,Cory Schneider,away,New Jersey Devils,Florida Panthers,62.8,2,3.1,20162017
21,21,21,21,21,2016-10-13,Jake Allen,home,St Louis Blues,Minnesota Wild,60.0,2,2.57,20162017
22,22,22,22,22,2016-10-13,Devan Dubnyk,away,Minnesota Wild,St Louis Blues,58.0833,3,2.4,20162017
23,23,23,23,23,2016-10-13,Connor Hellebuyck,home,Winnipeg Jets,Carolina Hurricanes,62.4167,4,2.83,20162017
24,24,24,24,24,2016-10-13,Cam Ward,away,Carolina Hurricanes,Winnipeg Jets,62.6833,5,3.41,20162017
25,25,25,25,25,2016-10-13,Antti Niemi,home,Dallas Stars,Anaheim Ducks,59.9,2,4.12,20162017
26,26,26,26,26,2016-10-13,John Gibson,away,Anaheim Ducks,Dallas Stars,56.9333,4,2.51,20162017
27,27,27,27,27,2016-10-14,Pekka Rinne,home,Nashville Predators,Chicago Blackhawks,59.7667,2,2.51,20162017
28,28,28,28,28,2016-10-14,Corey Crawford,away,Chicago Blackhawks,Nashville Predators,58.2333,3,2.4,20162017
29,29,29,29,29,2016-10-14,Brian Elliott,home,Calgary Flames,Edmonton Oilers,59.0333,4,3.06,20162017
30,30,30,30,30,2016-10-14,Cam Talbot,away,Edmonton Oilers,Calgary Flames,60.0,3,2.27,20162017
31,31,31,31,31,2016-10-14,Jeff Zatkoff,home,Los Angeles Kings,Philadelphia Flyers,58.4667,4,2.43,20162017
32,32,32,32,32,2016-10-14,Michal Neuvirth,away,Philadelphia Flyers,Los Angeles Kings,60.0,2,2.02,20162017
33,33,33,33,33,2016-10-15,Frederik Andersen,home,Toronto Maple Leafs,Boston Bruins,60.0,1,1.83,20162017
34,34,34,34,34,2016-10-15,Anton Khudobin,away,Boston Bruins,Toronto Maple Leafs,59.7,4,2.78,20162017
35,35,35,35,35,2016-10-15,Craig Anderson,home,Ottawa Senators,Montreal Canadiens,65.0,3,1.53,20162017
36,36,36,36,36,2016-10-15,Al Montoya,away,Montreal Canadiens,Ottawa Senators,65.0,3,4.18,20162017
37,37,37,37,37,2016-10-15,Andrei Vasilevskiy,home,Tampa Bay Lightning,New Jersey Devils,59.4167,2,2.15,20162017
38,38,38,38,38,2016-10-15,Cory Schneider,away,New Jersey Devils,Tampa Bay Lightning,58.3167,3,2.59,20162017
39,39,39,39,39,2016-10-15,Roberto Luongo,home,Florida Panthers,Detroit Red Wings,60.0,1,1.27,20162017
40,40,40,40,40,2016-10-15,Petr Mrazek,away,Detroit Red Wings,Florida Panthers,59.3667,3,2.48,20162017
41,41,41,41,41,2016-10-15,Marc-Andre Fleury,home,Pittsburgh Penguins,Anaheim Ducks,60.0,2,2.94,20162017
42,42,42,42,42,2016-10-15,Jonathan Bernier,away,Anaheim Ducks,Pittsburgh Penguins,59.2667,3,3.61,20162017
43,43,43,43,43,2016-10-15,Braden Holtby,home,Washington Capitals,New York Islanders,59.7,1,1.67,20162017
44,44,44,44,44,2016-10-15,Thomas Greiss,away,New York Islanders,Washington Capitals,58.2667,2,2.17,20162017
45,45,45,45,45,2016-10-15,Sergei Bobrovsky,home,Columbus Blue Jackets,San Jose Sharks,58.8667,2,3.07,20162017
46,46,46,46,46,2016-10-15,Martin Jones,away,San Jose Sharks,Columbus Blue Jackets,60.0,2,1.88,20162017
47,47,47,47,47,2016-10-15,Devan Dubnyk,home,Minnesota Wild,Winnipeg Jets,60.0,3,1.33,20162017
48,48,48,48,48,2016-10-15,Michael Hutchinson,away,Winnipeg Jets,Minnesota Wild,57.5667,4,2.43,20162017
49,49,49,49,49,2016-10-15,Carter Hutton,home,St Louis Blues,New York Rangers,59.7833,2,3.13,20162017
50,50,50,50,50,2016-10-15,Henrik Lundqvist,away,New York Rangers,St Louis Blues,58.65,3,1.55,20162017
