,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Date,Player,Venue,Team,Opposition,TOI,Goals Against,Expected Goals Against,Season,Score
0,0,0,0,0,2007-09-29,Jonathan Bernier,home,Los Angeles Kings,Anaheim Ducks,59.9833,1,2.94,20072008,
1,1,1,1,1,2007-09-29,Ilya Bryzgalov,away,Anaheim Ducks,Los Angeles Kings,58.45,3,1.67,20072008,
2,2,2,2,2,2007-09-30,Jonas Hiller,home,Anaheim Ducks,Los Angeles Kings,60.0,1,1.31,20072008,
3,3,3,3,3,2007-09-30,Jason LaBarbera,away,Los Angeles Kings,Anaheim Ducks,59.9667,4,2.2,20072008,
4,4,4,4,4,2007-10-03,Cam Ward,home,Carolina Hurricanes,Montreal Canadiens,61.0167,3,3.7,20072008,
5,5,5,5,5,2007-10-03,Cristobal Huet,away,Montreal Canadiens,Carolina Hurricanes,61.0833,2,3.57,20072008,
6,6,6,6,6,2007-10-03,Dominik Hasek,home,Detroit Red Wings,Anaheim Ducks,64.7833,2,1.75,20072008,
7,7,7,7,7,2007-10-03,Ilya Bryzgalov,away,Anaheim Ducks,Detroit Red Wings,65.0,2,4.16,20072008,
8,8,8,8,8,2007-10-03,Andrew Raycroft,home,Toronto Maple Leafs,Ottawa Senators,62.95,4,2.78,20072008,
9,9,9,9,9,2007-10-03,Martin Gerber,away,Ottawa Senators,Toronto Maple Leafs,62.95,3,2.59,20072008,
10,10,10,10,10,2007-10-03,Peter Budaj,home,Colorado Avalanche,Dallas Stars,60.0,3,2.91,20072008,
11,11,11,11,11,2007-10-03,Marty Turco,away,Dallas Stars,Colorado Avalanche,58.85,4,1.82,20072008,
12,12,12,12,12,2007-10-04,Henrik Lundqvist,home,New York Rangers,Florida Panthers,60.0,2,3.82,20072008,
13,13,13,13,13,2007-10-04,Tomas Vokoun,away,Florida Panthers,New York Rangers,60.0,5,2.89,20072008,
