,Player,Season,Team,dob,pos
0,Alex Ovechkin,20072008,Washington Capitals,1985-09-17,LW
1,Evgeni Malkin,20072008,Pittsburgh Penguins,1986-07-31,C
2,Jarome Iginla,20072008,Calgary Flames,1977-07-01,RW
3,Pavel Datsyuk,20072008,Detroit Red Wings,1978-07-20,C
4,Joe Thornton,20072008,San Jose Sharks,1979-07-02,C
5,Henrik Zetterberg,20072008,Detroit Red Wings,1980-10-09,C
6,Vincent Lecavalier,20072008,Tampa Bay Lightning,1980-04-21,C
7,Jason Spezza,20072008,Ottawa Senators,1983-06-13,C
8,Daniel Alfredsson,20072008,Ottawa Senators,1972-12-11,RW
9,Ilya Kovalchuk,20072008,Atlanta Thrashers,1983-04-15,LW/RW
10,Alex Kovalev,20072008,Montréal Canadiens,1973-02-24,RW
11,Marian Gaborik,20072008,Minnesota Wild,1982-02-14,RW/LW
12,Mike Ribeiro,20072008,Dallas Stars,1980-02-10,C
13,Martin St. Louis,20072008,Tampa Bay Lightning,1975-06-18,RW
14,Dany Heatley,20072008,Ottawa Senators,1981-01-21,LW/RW
15,Eric Staal,20072008,Carolina Hurricanes,1984-10-29,C
16,Ryan Getzlaf,20072008,Anaheim Ducks,1985-05-10,C
17,Derek Roy,20072008,Buffalo Sabres,1983-05-04,C
18,Jason Pominville,20072008,Buffalo Sabres,1982-11-30,RW
19,Mats Sundin,20072008,Toronto Maple Leafs,1971-02-13,C
20,Shane Doan,20072008,Phoenix Coyotes,1976-10-10,RW
21,Marc Savard,20072008,Boston Bruins,1977-07-17,C
22,Anze Kopitar,20072008,Los Angeles Kings,1987-08-24,C
23,Henrik Sedin,20072008,Vancouver Canucks,1980-09-26,C
24,Mike Richards,20072008,Philadelphia Flyers,1985-02-11,C
25,Brenden Morrow,20072008,Dallas Stars,1979-01-16,LW
26,Daniel Sedin,20072008,Vancouver Canucks,1980-09-26,LW
27,Daniel Briere,20072008,Philadelphia Flyers,1977-10-06,C
28,J-P Dumont,20072008,Nashville Predators,1978-04-01,RW
29,Jason Arnott,20072008,Nashville Predators,1974-10-11,C
30,Sidney Crosby,20072008,Pittsburgh Penguins,1987-08-07,C
31,Patrick Kane,20072008,Chicago Blackhawks,1988-11-19,RW
32,Olli Jokinen,20072008,Florida Panthers,1978-12-05,C
33,Vinny Prospal,20072008,totals,1975-02-17,LW/C
34,Jaromir Jagr,20072008,New York Rangers,1972-02-15,RW
35,Paul Stastny,20072008,Colorado Avalanche,1985-12-27,C
36,Ales Hemsky,20072008,Edmonton Oilers,1983-08-13,RW
37,Scott Gomez,20072008,New York Rangers,1979-12-23,C
38,Nicklas Lidstrom,20072008,Detroit Red Wings,1970-04-28,D
39,Rick Nash,20072008,Columbus Blue Jackets,1984-06-16,LW/RW
40,Tomas Plekanec,20072008,Montréal Canadiens,1982-10-31,C
41,Nicklas Backstrom,20072008,Washington Capitals,1987-11-23,C
42,Alex Frolov,20072008,Los Angeles Kings,1982-06-19,LW
43,Marian Hossa,20072008,totals,1979-01-12,RW
44,Kristian Huselius,20072008,Calgary Flames,1978-11-10,LW
45,Brad Boyes,20072008,St Louis Blues,1982-04-17,RW
46,Zach Parise,20072008,New Jersey Devils,1984-07-28,LW/RW
47,Daymond Langkow,20072008,Calgary Flames,1976-09-27,C
48,Cory Stillman,20072008,totals,1973-12-20,LW
49,Paul Kariya,20072008,St Louis Blues,1974-10-16,LW
50,Sergei Gonchar,20072008,Pittsburgh Penguins,1974-04-13,D
51,Thomas Vanek,20072008,Buffalo Sabres,1984-01-19,LW/RW
