id,player_id,team_id,season_id,first_name,last_name,full_name,season_abbreviation,team_abbreviation,position,jersey_number,handedness,rookie,captaincy,age,draft_plus_minus,draft_plus_minus_string,draft_year,games_played,game_score,game_score_pg,goals_created,off_point_shares,def_point_shares,point_shares
,4696,,61,Tom,Kuhnhackl,Tom Kuhnhackl,18-19,BRI,F,,L,false,,26.67,9,+9,2010,1,2.88,2.88,,,,
,4858,,43,Matt,Nieto,Matt Nieto,13-14,WOR,LW,,L,true,,20.87,3,+3,2011,2,4.96,2.48,,,,
,4582,,48,Beau,Bennett,Beau Bennett,14-15,WBS,RW,,R,false,,22.82,5,+5,2010,2,4.55,2.28,,,,
,7171,,68,Morgan,Geekie,Morgan Geekie,20-21,CHI,C,,R,false,,22.17,5,+5,2016,2,4.45,2.23,,,,
,4085,,61,Austin,Watson,Austin Watson,18-19,MIL,C,,R,false,,26.69,9,+9,2010,2,4.21,2.11,,,,
,4512,,37,Max,Reinhart,Max Reinhart,11-12,ABB,C,,L,true,,19.62,2,+2,2010,1,2.1,2.1,,,,
,1417,,12,Mathieu,Darche,Mathieu Darche,07-08,NOR,LW,,L,false,,30.82,13,+13,1995,4,8.35,2.09,,,,
,5574,,43,Emile,Poirier,Emile Poirier,13-14,ABB,RW,,L,true,,18.77,1,+1,2013,2,4.11,2.06,,,,
,134,,61,Andrew,Ladd,Andrew Ladd,18-19,BRI,LW,,L,false,,32.78,15,+15,2004,2,4.08,2.04,,,,
,3637,,48,Chris,VandeVelde,Chris VandeVelde,14-15,LV,C,,L,false,,27.52,10,+10,2005,1,2.03,2.03,,,,
,6380,,57,Kevin,Labanc,Kevin Labanc,17-18,SJ,RW,,R,false,,21.78,4,+4,2014,2,3.98,1.99,,,,
,209,,16,James,Wisniewski,James Wisniewski,08-09,RFD,D,,R,false,,24.58,7,+7,2002,2,3.93,1.97,,,,
,8677,,68,Cole,Caufield,Cole Caufield,20-21,LAV,RW,,R,true,,19.72,2,+2,2019,2,3.93,1.97,,,,
