,Player,Match_1,Score_1,Match_2,Score_2,Match_3,Score_3,Match_4,Score_4,Match_5,Score_5,Match_6,Score_6,Match_7,Score_7,Match_8,Score_8,Match_9,Score_9,Match_10,Score_10
2154,Justin Kloos,Ryan Spooner,0.9999892434117201,Janne Kuokkanen,0.9972890513599095,Laurent Dauphin,0.9957661420120478,Jake Evans,0.9954555293782953,Colin Greening,0.9942481512538837,Trent Frederic,0.9909361829788358,Adam Brooks,0.9899541972448743,Jordan Schroeder,0.9892643740800267,Ryan Garbutt,0.9887956669545257,Paul Szczechura,0.9886745005029388
2803,Callahan Burke,Zach Hyman,0.9999838910222186,Mitchell Stephens,0.9920382302861854,Tyler Seguin,0.9889267489849236,Kevin Hayes,0.9877000653655951,William Nylander,0.9853866156286607,Ben Street,0.9807753768788875,Luke Johnson,0.9806094474447883,Peter Mueller,0.9798318960513337,Liam O'Brien,0.9788088846681292,Radek Faksa,0.9775672797787383
2410,Cole Bardreau,Artem Anisimov,0.9999838496183642,Clayton Keller,0.9967592135188105,Jakob Forsbacka Karlsson,0.9445999179845751,Logan Couture,0.9311317131405312,Paul Carey,0.9012098154452295,Ben Street,0.8990751151715861,Seth Griffith,0.8964432771194942,Quinton Byfield,0.8863870168280531,Gemel Smith,0.8326229171347074,Robert Thomas,0.8296016618799903
1101,MacGregor Sharp,Martin Necas,0.9999134364760125,James Sheppard,0.9288788529454595,Darren Helm,0.8708450964065417,Ryan Spooner,0.8660017922282113,Lukas Vejdemo,0.8634569109719099,Arttu Ruotsalainen,0.8612736874883831,Christian Dvorak,0.8521687343268766,Chris VandeVelde,0.8418750709310991,Bo Horvat,0.8362788212124456,Zac Rinaldo,0.8333361973344079
1759,Dominik Uher,Luke Glendening,0.9998908956476953,Joseph Gambardella,0.9992321276250022,Ben Maxwell,0.9982633683027827,Johan Larsson,0.9970854008996457,Ty Dellandrea,0.9963261157887413,Stephane Da Costa,0.9951061201717536,Blake Lizotte,0.9945869911074678,Logan Shaw,0.9938568176477367,Adam Gaudette,0.9926133518137966,Eric O'Dell,0.9922411048767356
1371,Bill Sweatt,Austin Wagner,0.9998572947804598,Linus Omark,0.9769759677208689,Marcus Johansson,0.9671009522662248,Brendan Lemieux,0.9655986566704912,Tim Stutzle,0.9392848130549453,Kyle Clifford,0.9389012346946004,Maksim Mayorov,0.9294089211738041,Christian Thomas,0.9283221821444246,Nikolai Prokhorkin,0.9242811334798912,Nick Foligno,0.9224237103341155
2702,Sean Day,Dean Kukan,0.9998362551331603,Jamie Oleksiak,0.9895741484751577,Anton Belov,0.9892792013037899,Danny DeKeyser,0.9889475857386116,Nick Perbix,0.988000595524445,Austin Strand,0.9876113109062082,Nils Lundkvist,0.9860173339628874,Erik Brannstrom,0.9827525015845623,Stephen Johns,0.9820638992768961,Rasmus Dahlin,0.9812779331254119
2759,Hunter Drew,Colton White,0.9998211829943459,Raphael Diaz,0.9948887245808645,Dougie Hamilton,0.990384093368931,Mark Friedman,0.9885040181304525,Teemu Laakso,0.9877092058840905,Zach Bogosian,0.9871302047517732,Philip Samuelsson,0.9870788103593032,Griffin Reinhart,0.9830510133001377,Keaton Ellerby,0.9825138735210762,Alexander Urbom,0.9824752132762661
1770,Petr Straka,David Pastrnak,0.9997417106935242,Josh Currie,0.9902103993324106,Brandon Pirri,0.9861605223750568,David Jones,0.984093481393215,Matt Fraser,0.9764335362798703,Tomas Hyka,0.973034831409182,Jimmy Hayes,0.9704090997131829,Matt D'Agostini,0.9685366643111814,Brett Leason,0.965565256096273,Ryan Reaves,0.9654240270568484
1787,Rasmus Rissanen,Nicolas Beaudin,0.9997062785761128,Duncan Siemens,0.8425704250610153,Mark Flood,0.7823420809010079,Joe Finley,0.7681630588397971,Dillon Heatherington,0.7656532772780698,Brett Festerling,0.7492624534914943,Kale Clague,0.7275340996105262,Brett Lernout,0.7094708714064718,Owen Power,0.709125575155123,Morgan Rielly,0.6947580691820237
1289,Hugh Jessiman,Victor Oreskovich,0.9996588807348598,Brian O'Neill,0.9987446211664912,Kyle Palmieri,0.9984702160862546,Tom Wilson,0.9906158592953899,Jerry D'Amigo,0.989844054364676,Tim Wallace,0.9893643713788011,Cole Caufield,0.9888391187191357,Brendan Gallagher,0.9883167479761169,Max McCormick,0.9876959893769252,Jannik Hansen,0.9872100370270405
2212,Ben Sexton,Jori Lehtera,0.9996502723363346,Jeremy Welsh,0.9993238131890563,Philippe Dupuis,0.9952470187988443,Steven Fogarty,0.9948162801499146,Blake Geoffrion,0.9942003519987015,Alex Turcotte,0.9927776534107212,Michael Sgarbossa,0.9924309367458649,Darroll Powe,0.9923540923430109,Dana Tyrell,0.9920899448741264,Logan Brown,0.9912497137412765
2354,Brady Keeper,Kevin Bahl,0.9996415490977454,Evgeny Medvedev,0.9993515285153863,Patrik Nemeth,0.999134493169986,Calen Addison,0.9970805861123321,Anthony DeAngelo,0.9909121730303923,Jakob Chychrun,0.9865408487839914,Rob O'Gara,0.9863685673324007,Scott Harrington,0.9860468298071895,Rinat Valiev,0.9843110575071837,Cal Foote,0.9834635277308407
2860,Jackson LaCombe,Dylan Coghlan,0.999639957007882,Duncan Siemens,0.9985632192465035,Haydn Fleury,0.9977811327396323,Jeremy Davies,0.9965004651220418,Johnny Boychuk,0.9959939971293091,Libor Hajek,0.9951518203340162,Jacob Bryson,0.9897421715981936,Bryan Rodney,0.9887634929426865,Josh Brown,0.9870863641663095,Arturs Kulda,0.9859710685456274
1808,John Ramage,Alexander Alexeyev,0.9996183590724225,Ben Harpur,0.992722735924441,Fredrik Claesson,0.9903870348352268,Jonathan Ericsson,0.9824748379261128,Tony DeAngelo,0.9823563917198482,Tyler Tucker,0.9778426034125313,Robin Salo,0.9770647882348589,Tyler Wotherspoon,0.9750245194156875,Carson Soucy,0.969189884825727,Sami Lepisto,0.9678985915242825
