Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
2021-03-16,Oskar Steen,away,Boston Bruins,Pittsburgh Penguins,C,9.2166666666667,0,0,0,0.3,0,0,0,0,0,0,0,0.72,0.33,20202021,0.3499333333333344,0.3499333333333344,0.3499333333333344,0.3499333333333344,-0.3499333333333344,0.3499333333333344,0.3700666666666655,0.0199333333333344,0.15,0.0,-0.168708333333334,0.4129912500000011,0.3942829166666671,1998-03-09,23.035616438356165,1,0.0,0.0370622656454401,0.0370622656454401,0.0371168825324251,0.0323870857932888,0.0,1.0246204805537509,0.0331844714092551
2021-03-18,Oskar Steen,away,Boston Bruins,Buffalo Sabres,C,14.0,0,0,0,0.1,0,1,0,0,0,0,0,0.33,0.57,20202021,0.503,0.503,0.503,0.503,-0.503,0.503,-0.173,-0.0669999999999999,0.05,-0.15,-0.508125,0.1685812500000001,-0.4395437499999999,1998-03-09,23.04109589041096,2,0.0372168789483181,-0.0042922379375727,-0.0042922379375727,-0.004492983785333,0.0133330986202274,0.0,1.0243857614812508,0.0136582363829863
2021-05-11,Oskar Steen,away,Boston Bruins,Washington Capitals,C,17.0,0,0,0,0.05,1,0,0,0,0,0,1,0.42,1.04,20202021,0.5990000000000001,0.5990000000000001,0.5990000000000001,0.5990000000000001,-0.5990000000000001,-0.4009999999999999,-0.1790000000000001,-0.4409999999999999,0.075,0.0,-0.5118750000000001,-0.96531875,-1.40219375,1998-03-09,23.18904109589041,3,-0.0040474002068891,-0.1171008565826807,-0.1171008565826807,-0.1059008850550645,-0.0029567893220322,0.0,1.0185304702410818,-0.0029029954512135
2021-10-24,Oskar Steen,home,Boston Bruins,San Jose Sharks,C,10.666666666667,0,1,0,0.01,0,0,0,0,1,1,1,0.21,0.06,20212022,0.396333333333344,0.396333333333344,0.396333333333344,0.396333333333344,0.6036666666666559,-0.6036666666666559,-0.186333333333344,0.336333333333344,0.705,-0.01,0.1085416666666598,0.4840812500000114,1.2876229166666713,1998-03-09,23.64383561643836,4,-0.1264515562471964,-0.0109883826214746,-0.0109883826214746,-0.0118547439917036,0.0127615568299367,0.0,1.0059025589480228,0.012836882671394
2021-11-14,Oskar Steen,home,Boston Bruins,Montreal Canadiens,C,11.516666666667,0,0,1,0.0,0,0,0,0,0,1,0,0.53,0.45,20212022,0.423533333333344,0.423533333333344,0.423533333333344,0.423533333333344,0.576466666666656,0.423533333333344,0.106466666666656,-0.026466666666656,0.55,0.0,0.29154166666666,0.2876512500000113,1.1291929166666714,1998-03-09,23.7013698630137,5,0.0252608421359953,0.0700896437520911,0.0700896437520911,0.0815429245006422,0.061998234872077,0.0,1.004836517898014,0.0622980904446811
2021-12-08,Oskar Steen,away,Boston Bruins,Vancouver Canucks,C,7.2,0,0,0,0.14,0,0,0,0,0,0,0,0.27,0.11,20212022,0.2854,0.2854,0.2854,0.2854,-0.2854,0.2854,-0.0154,0.1754,0.07,0.0,-0.409625,0.71802125,0.37839625,1998-03-09,23.767123287671232,6,0.1361578426266235,0.0908299300726101,0.0908299300726101,0.1026404272171819,0.1353943895845949,0.0,1.0037547329879208,0.1359027593655476
2022-01-02,Oskar Steen,away,Boston Bruins,Detroit Red Wings,C,10.55,0,1,0,0.32,1,0,0,0,0,1,0,0.58,0.21,20212022,0.3926,0.3926,0.3926,0.3926,0.6073999999999999,0.3926,0.1873999999999999,0.1826,0.91,0.0,0.3421249999999999,0.66259125,1.91471625,1998-03-09,23.83561643835617,7,0.1592086662781132,0.2074136784467404,0.2074136784467404,0.2291907987883514,0.2167500248543129,0.0,1.0027795739627372,0.2173524975798206
2022-01-04,Oskar Steen,home,Boston Bruins,New Jersey Devils,C,11.75,1,0,0,0.26,0,0,0,0,0,1,0,0.63,0.33,20212022,0.431,0.431,0.431,0.431,0.569,0.431,0.199,0.1009999999999999,0.88,0.0,0.3493749999999999,0.4996312499999999,1.72900625,1998-03-09,23.84109589041096,8,0.3185216633183284,0.3001925993802208,0.3001925993802208,0.3274011234896587,0.2752802719089978,0.0,1.0027081501426287,0.276025772216631
2022-01-06,Oskar Steen,home,Boston Bruins,Minnesota Wild,C,9.5333333333333,0,0,0,0.06,1,0,0,0,0,0,0,0.62,0.19,20212022,0.3600666666666656,0.3600666666666656,0.3600666666666656,0.3600666666666656,-0.3600666666666656,0.3600666666666656,0.2599333333333344,0.1700666666666656,0.08,0.0,-0.237541666666666,0.6618212499999988,0.5042795833333328,1998-03-09,23.846575342465755,9,0.4362852578683532,0.3121052191433336,0.3121052191433336,0.3344584881949113,0.3207086585846561,0.0,1.0026376944066484,0.3215545900195685
2022-01-08,Oskar Steen,away,Boston Bruins,Tampa Bay Lightning,C,10.883333333333,0,1,0,0.07,1,0,0,0,0,1,0,0.36,0.16,20212022,0.403266666666656,0.403266666666656,0.403266666666656,0.403266666666656,0.596733333333344,0.403266666666656,-0.043266666666656,0.243266666666656,0.785,0.0,0.1979583333333399,0.7589912499999886,1.7419495833333285,1998-03-09,23.852054794520548,10,0.4415432462416251,0.3922554915004425,0.3922554915004425,0.4075339887352904,0.3374016529835051,0.0,1.0025682051166482,0.3382681696350629
